Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Congo,11 000 [9200 - 12 000],11 000 [9600 - 12 000],11 000 [10 000 - 13 000],11 000 [9900 - 13 000],11 000 [10 000 - 13 000],11 000 [9800 - 13 000],11 000 [9400 - 12 000],10 000 [9100 - 12 000],9900 [8600 - 11 000],9200 [8100 - 11 000],8500 [7500 - 9700],7800 [6900 - 8800],7100 [6300 - 7900],6500 [5800 - 7200],6000 [5400 - 6600],5600 [5000 - 6200],5300 [4700 - 5900],5100 [4500 - 5700],4900 [4300 - 5600],4800 [4200 - 5500],4700 [4100 - 5400],4700 [4100 - 5500],4600 [4000 - 5400],4200 [3600 - 5000],4500 [3800 - 5500]
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<500 - <1000]
Cuba,<200 [<100 - <500],<200 [<100 - <500],<200 [<100 - <500],<200 [<100 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<1000 - <1000],<1000 [<1000 - <1000],<1000 [<1000 - <1000],<1000 [<1000 - 1000],<1000 [<1000 - 1200],1100 [<1000 - 1300],1300 [1100 - 1600],1500 [1300 - 1800],1500 [1200 - 1800],1700 [1400 - 2200],1900 [1500 - 2500],2100 [1600 - 2800]
Côte d'Ivoire,40 000 [33 000 - 50 000],45 000 [37 000 - 55 000],49 000 [42 000 - 59 000],53 000 [46 000 - 63 000],57 000 [49 000 - 65 000],58 000 [51 000 - 66 000],59 000 [53 000 - 65 000],58 000 [52 000 - 64 000],57 000 [51 000 - 63 000],54 000 [49 000 - 60 000],52 000 [47 000 - 57 000],49 000 [44 000 - 53 000],45 000 [41 000 - 50 000],42 000 [38 000 - 47 000],39 000 [36 000 - 43 000],36 000 [33 000 - 40 000],34 000 [31 000 - 38 000],32 000 [28 000 - 35 000],29 000 [26 000 - 33 000],28 000 [24 000 - 31 000],28 000 [24 000 - 32 000],28 000 [24 000 - 32 000],27 000 [23 000 - 31 000],26 000 [23 000 - 30 000],25 000 [21 000 - 29 000]
Democratic Republic of the Congo,45 000 [40 000 - 49 000],45 000 [40 000 - 50 000],49 000 [44 000 - 54 000],49 000 [44 000 - 54 000],49 000 [44 000 - 53 000],48 000 [43 000 - 53 000],48 000 [43 000 - 53 000],47 000 [42 000 - 52 000],46 000 [41 000 - 51 000],45 000 [40 000 - 50 000],44 000 [39 000 - 49 000],43 000 [38 000 - 48 000],42 000 [37 000 - 47 000],42 000 [37 000 - 46 000],40 000 [36 000 - 45 000],39 000 [35 000 - 44 000],38 000 [34 000 - 43 000],37 000 [33 000 - 42 000],36 000 [32 000 - 41 000],36 000 [31 000 - 40 000],34 000 [30 000 - 38 000],33 000 [29 000 - 38 000],33 000 [28 000 - 37 000],31 000 [26 000 - 35 000],29 000 [25 000 - 33 000]
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<500 - <500]
Djibouti,<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<1000 - 1300],1100 [<1000 - 1800],1500 [1100 - 2100],1700 [1300 - 2400],1900 [1400 - 2500],1900 [1500 - 2600],1900 [1500 - 2500],1700 [1300 - 2200],1400 [1000 - 1900],1200 [<1000 - 1700],1000 [<1000 - 1500],<1000 [<1000 - 1300],<1000 [<500 - 1200],<1000 [<500 - 1100],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1000],<1000 [<500 - 1100],<1000 [<500 - 1100],<1000 [<500 - 1100]
Dominican Republic,6200 [4200 - 9700],7700 [5100 - 12 000],9100 [6000 - 14 000],10 000 [7000 - 16 000],11 000 [7700 - 16 000],12 000 [8500 - 17 000],12 000 [8800 - 17 000],12 000 [8900 - 16 000],11 000 [8300 - 15 000],10 000 [7700 - 14 000],8800 [6800 - 12 000],7700 [5800 - 11 000],6500 [4800 - 9500],5500 [3900 - 8300],4600 [3300 - 7100],4000 [2800 - 6200],3500 [2500 - 5400],3100 [2300 - 4700],2900 [2100 - 4300],2700 [2000 - 4100],2600 [1900 - 3700],2400 [1800 - 3500],2400 [1800 - 3500],2500 [1800 - 3700],2400 [1800 - 3600]
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,1800 [<1000 - 2800]
Egypt,<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<200 [<100 - <200],<200 [<100 - <500],<200 [<100 - <500],<200 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1000],<1000 [<500 - 1100],<1000 [<500 - 1200],<1000 [<500 - 1400],<1000 [<1000 - 1500],<1000 [<1000 - 1700],1100 [<1000 - 1900],1200 [<1000 - 2200]
